authorId,url,name,affiliations,homepage,paperCount,citationCount,hIndex,fake,institutionid
2351698,https://www.semanticscholar.org/author/2351698,H. Vetter,[],,664,12040,51,0,5740
6235536,https://www.semanticscholar.org/author/6235536,V. Najjar,[],,167,2659,29,0,6881
3746423,https://www.semanticscholar.org/author/3746423,D. Buskila,[],,375,14714,70,0,5192
145299727,https://www.semanticscholar.org/author/145299727,Y. Shoenfeld,[],,2618,100254,141,0,5734
13266709,https://www.semanticscholar.org/author/13266709,C. Laderman,[],,32,703,13,0,4918
8383022,https://www.semanticscholar.org/author/8383022,I. Bérczi,[],,225,4162,34,0,8648
49076667,https://www.semanticscholar.org/author/49076667,É. Nagy,[],,77,2426,24,0,6166
2345363,https://www.semanticscholar.org/author/2345363,S. Asa,[],,741,46451,104,0,1345
143870168,https://www.semanticscholar.org/author/143870168,K. Kovacs,[],,884,30607,90,0,1219
6354193,https://www.semanticscholar.org/author/6354193,L. Saland,[],,64,1094,17,0,6329
6094456,https://www.semanticscholar.org/author/6094456,W. G. Dail,[],,47,2087,21,0,5023
145738081,https://www.semanticscholar.org/author/145738081,E. Reyes,[],,46,692,14,0,7318
145570402,https://www.semanticscholar.org/author/145570402,M. Ross,[],,6,161,5,0,546
74119887,https://www.semanticscholar.org/author/74119887,P. Berger,[],,170,5525,42,0,3706
143966318,https://www.semanticscholar.org/author/143966318,A. Goldstein,[],,180,18523,64,0,608
48578140,https://www.semanticscholar.org/author/48578140,T. Schunck,[],,11,22,2,0,1470
